Geneid	KEGG_ko
gene13953	K04849
gene7675	K05330
gene7676	K05330
gene12994	K01673
gene3111	K06685
gene5819	K04728
gene5820	K12617
gene5821	K17254
gene5822	K14325
gene9110	K03106
gene9111	K14826
gene4653	K08145,K14258
gene4654	K01290,K01298
gene4655	K01290,K01298
gene789	K10251
gene790	K10251
gene791	K10251
gene792	K10251
gene793	K10251
gene794	K10251
gene11042	K06484,K06487,K06584
gene10079	K07962
gene10080	K03165,K08466
gene8838	K01092
gene8839	K01092
gene8840	K17604
gene2351	K11141
gene2353	K00714
gene2356	K00507,K15331
gene12707	K10448
gene9932	K04725,K16061
gene13488	K08957
gene8460	K00710
gene8461	K20671,K20677
gene12040	K15710
gene2965	K20289
gene2966	K09537
gene2967	K11876
gene8332	K10635,K17821
gene8333	K03236,K17410
gene1071	K05665,K05670
gene1072	K05665,K05666
gene1073	K05665,K05666
gene1435	K15189
gene1436	K11668
gene1437	K04451,K10148,K10149
gene1438	K14297
gene6340	K02678,K21932
gene6342	K00261
gene5632	K10268
gene5633	K11801
gene5634	K01409,K10721
gene5635	K18412
gene14295	K04529,K04530
gene11905	K13163,K14820
gene4253	K15196
gene12424	K01443
gene11963	K17906
gene10474	K02520,K16817
gene10475	K01581
gene10476	K01581
gene10477	K01581
gene7597	K08471
gene5283	K11540
gene8423	K04465,K08558
gene8424	K04465,K08558
gene9504	K05208
gene6844	K22075
gene6845	K05293
gene3346	K11651
gene3347	K11651
gene3348	K17908
gene3349	K17908
gene3352	K04536,K04537,K04538
gene3353	K04536,K04537,K04538
gene9630	K18160
gene9631	K12838
gene5344	K05323,K20007
gene5345	K05323,K20007
gene10612	K04362,K05093,K05094
gene10613	K00106
gene3624	K11585,K11586,K11587
gene3625	K05614
gene3626	K02219
gene3627	K03234
gene12757	K05323,K20007
gene3208	K09228,K09229
gene898	K17700,K17708
gene2840	K17335
gene2841	K00624
gene9462	K12505
gene13438	K08831,K08832,K15409
gene13439	K10727
gene7765	K04630
gene7766	K04534,K04630
gene6309	K02989
gene3255	K20163
gene11975	K09452
gene13202	K01904
gene13203	K02021,K05657,K19762
gene13531	K20191
gene5878	K12670
gene5879	K07902,K07903
gene5880	K19788
gene4351	K00297
gene4352	K14999
gene4353	K14999
gene4354	K20474
gene4355	K11656
gene4356	K10755
gene14472	K08870,K14962
gene14473	K03979
gene14474	K01876,K17387
gene14475	K11155
gene10922	K04926
gene7468	K18412
gene11338	K02728
gene11339	K11459
gene11340	K20699
gene11341	K05310
gene11342	K02603
gene8902	K00949,K01187,K08288
gene8903	K20352
gene4806	K13514
gene12632	K11529
gene9354	K00232,K10214
gene9355	K13754
gene8844	K00591
gene8845	K01829,K09583,K13984
gene12571	K07583
gene12572	K18723
gene14103	K01312,K09640
gene14104	K01395,K08606
gene7081	K02210
gene12960	K09317
gene11180	K08805
gene7956	K09556
gene7957	K03144
gene4424	K00764
gene4426	K12828
gene4428	K08823
gene11717	K14318
gene11208	K10424
gene11209	K11254
gene11210	K11252
gene11211	K11251
gene9277	K09228
gene6889	K01540
gene3084	K06258
gene3085	K14454
gene3086	K06258
gene11278	K11518
gene1196	K15135
gene1197	K14686
gene1199	K01698
gene1200	K15377
gene1201	K01312
gene5939	K03018
gene5940	K14960
gene5941	K14841
gene5942	K14573
gene5943	K02967
gene5944	K15323
gene5945	K00232,K10214
gene13463	K08745
gene13464	K11253
gene8924	K18405,K18413
gene8925	K18405,K18413
gene6033	K14399
gene6034	K01639
gene12555	K01922
gene5064	K19269,K21013
gene5065	K19269,K21013
gene5066	K19269,K21013
gene5067	K19269,K21013
gene5068	K19269,K21013
gene7089	K02981
gene14170	K01253,K05361,K10719
gene9873	K19519
gene2691	K20131,K21917
gene7670	K19748
gene13411	K12604
gene13412	K12604
gene2249	K16476,K16477
gene2250	K13115
gene2251	K01874
gene2252	K11644
gene6211	K11291
gene6214	K12833
gene9307	K13023
gene8508	K08706
gene11508	K06100
gene3809	K16358
gene12576	K08193
gene12976	K03105
gene9695	K12585
gene12109	K08342
gene12110	K07466
gene11240	K09059,K12114
gene14650	K10704,K20656
gene14655	K12021
gene14656	K12021
gene3830	K15137
gene3831	K14322
gene3832	K00382
gene3833	K09176,K09177,K09179,K09180
gene5773	K10104
gene2563	K05502,K08076,K09608,K13045,K13046,K13047
gene2564	K04992,K04993,K04994
gene9140	K01176
gene9141	K01176
gene9142	K01176
gene9236	K11969
gene11060	K01581
gene11061	K01581
gene9937	K17917
gene10845	K07295,K08524,K08525,K08526,K14030
gene10846	K01044,K01049,K01063,K03927,K15743
gene2099	K05702
gene11463	K00799
gene11464	K08471
gene11465	K08471
gene6855	K14445
gene6856	K14445
gene14071	K20307
gene8483	K04565
gene8484	K10398
gene7717	K11426
gene7718	K09228,K09229
gene6470	K14530
gene12817	K17935
gene11586	K09228,K09229
gene11396	K13356
gene11397	K13356
gene8203	K10104
gene8204	K10104
gene11595	K14945
gene14216	K15378
gene6140	K20308
gene14308	K13808
gene11329	K04794,K18177
gene7982	K09625
gene12771	K15623
gene8686	K00968
gene13395	K18739
gene13396	K07375
gene10461	K04688
gene10462	K18628
gene10463	K10696
gene13952	K14071
gene2804	K11252,K11275
gene2805	K11253,K11275
gene2806	K11253,K11254
gene2807	K11251
gene2808	K11253,K11275
gene2809	K11253,K11254
gene2810	K11253,K11254
gene2814	K11251
gene2815	K11252,K11275
gene2816	K11253,K11275
gene2051	K08576
gene2052	K06664
gene2053	K03063
gene2054	K07342
gene2055	K12837
gene3854	K08268,K09095,K09096,K10586
gene3856	K09534,K18732
gene3857	K18405,K18413
gene2224	K03005
gene2225	K15272
gene6355	K01904
gene6356	K03125
gene5489	K20828
gene5490	K13247
gene5491	K13349
gene12367	K08041,K08045
gene12368	K08041,K08043,K08045,K08048
gene8004	K00164
gene8005	K12876
gene2323	K19373
gene2324	K11462
gene2325	K04676,K16790
gene10753	K13855,K13856
gene10217	K00981
gene13161	K13963
gene12484	K04458,K18018,K20220
gene8358	K17725
gene6181	K10750
gene5797	K19863,K19864
gene5799	K11728
gene7790	K10345
gene6115	K07424,K14999,K15003,K17689,K17690,K17691,K17692,K17860
gene6116	K07424,K14999,K15003,K17689,K17690,K17691,K17692,K17860
gene326	K01950
gene327	K01950
gene328	K09216
gene329	K04240,K14072
gene12613	K01681,K22416
gene4294	K13138
gene6490	K01367,K03853,K08573,K08577,K08578,K08585
gene9590	K09481
gene13590	K02156
gene9680	K20820
gene9681	K11088
gene1993	K04955,K04956,K04957
gene1995	K04809,K05312
gene3602	K18027,K18037
gene3603	K11826
gene6956	K20225
gene6957	K20225
gene3163	K11426
gene3164	K11426
gene3165	K11515
gene8408	K12896
gene11877	K00699
gene11878	K00699
gene4046	K09048
gene6693	K08202,K08209,K08210,K17662
gene2378	K02270
gene3992	K00140
gene3993	K07390
gene3994	K15425
gene3995	K03260
gene3996	K03260
gene3998	K11829
gene9516	K14686
gene9517	K14819
gene2542	K02153
gene2543	K14708
gene2544	K15102
gene2545	K15102
gene2546	K07189
gene2547	K12854
gene13995	K01528
gene13996	K01528
gene4270	K00128
gene6804	K02326
gene6805	K18327,K18340
gene7300	K04809,K05312
gene3958	K03538
gene14380	K05312
gene11198	K02211
gene3638	K19904,K19911,K20674
gene12450	K16288
gene12451	K04716,K04717
gene9189	K09257
gene9190	K02130,K17710
gene4935	K15620
gene4936	K17868
gene4938	K02941,K17263
gene11034	K06638
gene12022	K00049
gene12023	K00049
gene5683	K06753,K06754,K06755
gene5684	K06753,K06754,K06755
gene4538	K00693
gene4540	K01306,K11140
gene2309	K02602
gene2310	K20359
gene2313	K12823,K13178
gene9796	K03083,K08822
gene9792	K05166
gene12074	K07583
gene12076	K22376
gene10679	K09360
gene13423	K01044,K01049,K01063,K03927
gene13695	K18203
gene5372	K13989,K19737
gene5374	K02174
gene5375	K02174
gene5376	K02174
gene3811	K15631
gene3813	K01230
gene3814	K18532
gene926	K12350
gene927	K01187,K14210
gene928	K07611,K12641,K20478
gene931	K09228,K09229
gene933	K06674
gene934	K12301
gene1692	K07379,K07380
gene1694	K04255
gene2531	K17093,K17095
gene2533	K00261
gene2534	K13335
gene7780	K11426
gene7781	K13758
gene13842	K10268
gene9402	K01802,K03768,K03770
gene8785	K20638,K21067
gene8786	K20638,K21067
gene5094	K10273
gene5095	K05699,K21073
gene5780	K22078
gene5781	K22078
gene5782	K22078
gene5783	K22078
gene10013	K01080
gene10903	K14616
gene10904	K14616
gene3258	K08824
gene3259	K10601
gene3260	K04499
gene550	K11251
gene551	K13963
gene552	K13963
gene553	K13963
gene14012	K08029,K09995
gene14013	K08029,K09995
gene9619	K04529,K04530
gene8709	K16745,K19382
gene8710	K16745,K19382
gene8711	K00471,K00474
gene8712	K04392,K07860,K07861
gene9668	K09228
gene8187	K08518
gene6285	K18080
gene1400	K09228,K09229
gene1401	K09228,K09229
gene1402	K09228,K09229
gene1404	K09228,K09229
gene1405	K03358
gene10250	K17631,K17633,K19901
gene8103	K19949,K22127
gene8104	K03174,K09849
gene8105	K07885,K07886
gene9857	K03145
gene9150	K10104
gene9151	K11426
gene14114	K11279,K11282
gene13964	K21598
gene13965	K11426
gene13966	K11426
gene12873	K11655
gene5353	K03678,K12586
gene5354	K01443
gene913	K17576
gene10760	K04491
gene687	K11547
gene7439	K07198
gene7440	K14780
gene6101	K02174
gene3449	K02895
gene3450	K06530
gene3451	K06530
gene3452	K00699,K04628
gene3454	K00699,K04628
gene3455	K00699,K04628
gene8742	K00637
gene8743	K00637
gene8169	K02212
gene8172	K12175
gene11641	K11320,K11661
gene11642	K11320,K11661
gene11643	K11320,K11661
gene9575	K20229
gene13717	K12200
gene9632	K02602
gene9633	K13353
gene2485	K08660
gene2487	K11348,K11349,K11350
gene2488	K11348,K11349,K11350
gene2489	K09525
gene13031	K10068
gene1591	K10401
gene1594	K06086
gene9763	K14615
gene13307	K01648
gene7147	K03347
gene14079	K13348
gene14080	K00710
gene13732	K03966
gene5599	K10104
gene6270	K16833
gene6273	K12667
gene13897	K20278
gene5442	K02917
gene9603	K10104
gene11572	K20673
gene11573	K13963
gene6513	K15361
gene6514	K17808
gene6515	K01081,K19970
gene12213	K06107
gene13880	K04082,K15151
gene13882	K01137
gene4990	K05030
gene4991	K22499
gene4993	K07897
gene5931	K06772,K06773,K06774
gene4383	K08471,K16458
gene14313	K01672,K01674,K18246
gene13339	K10478
gene8848	K08810,K15048,K20690
gene4052	K00911
gene4053	K04920
gene9466	K09624
gene7907	K15617
gene11927	K10884
gene5753	K07827,K07828
gene5754	K05925
gene2755	K14570
gene2756	K14570
gene2758	K13051
gene2759	K13051
gene14199	K08578,K08585
gene7798	K06093
gene2637	K03258
gene2639	K04670,K13596
gene4041	K18419
gene7405	K09273,K12041
gene5306	K18201
gene8887	K15683
gene10255	K01187,K14210
gene10256	K01187,K14210
gene10257	K01187,K14210
gene13406	K09452
gene9981	K05647
gene9983	K09228,K09229
gene9984	K09228
gene4284	K01887,K02890
gene4285	K01027
gene4287	K04445,K16510
gene7792	K07203
gene14612	K10523
gene11453	K02213
gene11454	K11262
gene11072	K08850
gene11073	K08798,K12761,K13108,K19008
gene13007	K12839
gene13009	K04927,K04929,K04930
gene1089	K19919
gene1090	K03155
gene8489	K09598
gene8490	K15121
gene11808	K20478
gene8648	K00943
gene8649	K19749
gene8592	K14428
gene12801	K02208
gene11603	K01487,K11265
gene11604	K01487
gene11606	K00515,K10252,K18048
gene11607	K19572
gene11608	K01104,K14394
gene11950	K03247
gene11951	K10345
gene11124	K11248,K21269
gene10906	K04422,K04423
gene10907	K04422,K04423
gene3460	K11468,K11469
gene3461	K16072,K19878
gene3462	K16072,K19878
gene3463	K00312,K00572
gene13569	K10655,K12181
gene11296	K06662
gene7233	K08145
gene7234	K04255
gene7235	K04255
gene4366	K11426
gene4367	K11585,K11586,K11587
gene4368	K03252
gene12166	K14001
gene12312	K21843
gene12313	K09500
gene6168	K10875
gene6169	K10086
gene13904	K10408
gene2029	K06835,K06836,K08610,K16067,K16068
gene2030	K01229,K05350
gene2031	K01229,K05350
gene1288	K18809
gene1289	K18809
gene1290	K06564
gene6987	K20315
gene6988	K20315
gene6990	K20315
gene6991	K20315
gene10588	K13356
gene10589	K13356
gene14096	K04527
gene14423	K03943
gene7472	K05636,K06243
gene1856	K00231,K06171
gene13465	K05038
gene11847	K05637,K06240
gene13332	K14306
gene7536	K03440
gene7537	K03440
gene7538	K03440
gene7539	K03440
gene7540	K03440
gene7541	K03440
gene7740	K18727,K18752
gene7741	K07930
gene5586	K00774
gene5587	K06700
gene7862	K16750
gene935	K14209
gene936	K14209
gene937	K14209
gene938	K06560,K06563,K06721,K06794,K06795,K10057,K10058,K10059,K10060,K17513,K17514,K22244
gene11854	K09228,K09229
gene8194	K05467
gene8195	K21751
gene8196	K03011
gene5437	K08155
gene8183	K02987
gene8184	K13171
gene8185	K13171
gene13192	K00326
gene13194	K15433
gene6653	K18438
gene6654	K11166
gene3174	K09680
gene3175	K04882,K04883,K04884
gene8477	K01648
gene14227	K03098
gene6176	K05181,K05192
gene7743	K19760
gene4816	K00710
gene13601	K06185
gene13248	K18407,K20410
gene1587	K00016
gene1588	K22204
gene4311	K09210
gene4313	K19986
gene4314	K07879,K07880,K07881
gene13279	K04378
gene13844	K09680,K12648
gene14567	K06560,K06563,K06721,K06794,K06795,K10057,K10058,K10059,K10060,K17513,K17514,K22244
gene1566	K21548
gene1567	K22074
gene1568	K17262
gene4435	K10951,K14425
gene12978	K13117
gene1704	K09280
gene3876	K20027
gene3877	K08013,K17701,K17702
gene13421	K01053,K06676
gene3185	K12874
gene3186	K10410
gene3187	K02906,K03522
gene9187	K06528
gene8677	K12182
gene8678	K01769,K12323,K16573
gene9093	K07200
gene5423	K09420,K09421,K21769
gene5424	K01493
gene5425	K12179
gene5428	K09397
gene12228	K07595,K09035,K09036,K09038
gene7693	K15277
gene11780	K12839
gene11331	K17794
gene8612	K00488,K10723,K15004,K17951,K17960
gene11998	K11426
gene11999	K07512
gene7278	K04448
gene10571	K03783
gene12321	K03768
gene12322	K03767,K12011,K16663
gene12323	K04362,K05093,K05096,K05098
gene7016	K15010
gene10739	K16831
gene8272	K17261
gene3119	K05313
gene3120	K05313
gene3122	K00109
gene3123	K00109
gene12809	K05752,K07554
gene7885	K14833
gene7886	K12593
gene7887	K00591
gene7888	K18260
gene13204	K04678
gene7833	K00940,K20790
gene7834	K12382
gene3684	K11322
gene3685	K09319
gene8174	K05636,K10414
gene8175	K00962
gene8176	K12867
gene11387	K12623,K14692
gene11388	K05304
gene1343	K22503
gene1345	K03352
gene1347	K00020
gene1348	K14801
gene872	K01435,K08069
gene874	K19695
gene876	K13764
gene9482	K02901
gene8366	K04575
gene9322	K00710
gene13132	K03248
gene6027	K05632,K05633
gene6028	K01868
gene6029	K20032
gene6030	K12366,K18985,K19241
gene12058	K00710
gene9995	K14958,K18529
gene9997	K06084
gene5882	K05019
gene5883	K02608
gene14289	K14317,K16219
gene13911	K08802
gene14507	K13201,K18747
gene14508	K03951
gene7694	K04346,K04639
gene7695	K19589
gene7696	K02087
gene7697	K04440
gene1300	K10523
gene1301	K03000
gene1302	K03023
gene1303	K20396
gene1304	K15279
gene1305	K01255
gene10727	K04675,K13578
gene3118	K01539
gene10493	K09182,K17894,K17895
gene10243	K07198
gene10244	K14780
gene2219	K20673
gene14634	K06287
gene6420	K18622
gene6422	K14404
gene6423	K00953,K15429
gene6424	K12387
gene2802	K19625
gene9661	K05925
gene9662	K20408
gene9665	K12882,K13288
gene11560	K05397
gene9558	K12580
gene3392	K09103
gene3394	K17794
gene13824	K13814
gene7309	K05643
gene7310	K05643
gene8836	K06269
gene10167	K17086
gene9328	K08517
gene9329	K12259
gene3882	K11426
gene10363	K09228,K09229
gene965	K14816
gene967	K08825
gene968	K08825
gene969	K20777
gene970	K13101,K13566
gene2784	K01044,K01049,K01063,K03927,K15743
gene2785	K01044,K01049,K01063,K03927,K15743
gene7812	K13696,K13697
gene12267	K09228
gene12268	K09228
gene10222	K11143
gene5230	K14281,K14282,K14283
gene5231	K08471
gene5232	K01816
gene4534	K01312,K09640
gene4535	K02156
gene3971	K01349,K08654
gene3785	K15701
gene7435	K11253
gene11200	K01265
gene12582	K05124,K05125
gene11553	K07553,K07966,K07967,K07968
gene11554	K10093
gene11555	K11426
gene12417	K07852,K17198
gene12418	K07852,K17198
gene10398	K20671,K20677
gene10399	K20671,K20677
gene9224	K17361
gene9252	K08826
gene7117	K11718
gene8014	K00699
gene8015	K00310,K00799
gene8017	K06176
gene6416	K10382,K10388,K19827
gene4865	K12873
gene4866	K13149
gene4867	K00803
gene12939	K01077
gene12940	K01077
gene8577	K13097
gene8578	K01409
gene8579	K03504,K17412
gene8580	K13084
gene10264	K08471
gene10265	K08471
gene7962	K10862
gene9552	K19473
gene3794	K14636
gene3795	K01016,K01025
gene3796	K00623
gene3797	K04428
gene3798	K12741,K13158
gene13119	K06691,K20174
gene13120	K18740
gene13122	K10262
gene13123	K20009
gene13124	K11491
gene8754	K20032
gene5504	K00721
gene5505	K03965
gene5506	K18405
gene5507	K08955
gene5509	K18025
gene9064	K01362,K09640
gene8491	K04531,K20055
gene8493	K04531,K20055
gene8494	K04531,K20055
gene5118	K11838
gene5898	K17478
gene5900	K03364
gene6660	K20673
gene6662	K05643
gene14204	K13783
gene13932	K01365
gene12717	K05166
gene4628	K20797
gene6769	K03662
gene6770	K00643
gene5834	K06225,K11101
gene2830	K09353
gene2831	K09353
gene6130	K13187
gene6131	K14168
gene13647	K14827
gene13648	K18186
gene14485	K19269,K21013
gene14486	K19269,K21013
gene3220	K08041,K08043,K08045,K08046,K08048
gene3221	K08041,K08043,K08045,K08046,K08048
gene3223	K00849
gene1675	K20126
gene1676	K20126
gene1677	K03857
gene1678	K05690
gene9212	K08471
gene2257	K08471
gene2258	K08471
gene7803	K06628
gene7804	K05734,K05735,K05736
gene9845	K16912
gene9846	K05948
gene7558	K15182
gene13302	K13084
gene13152	K10660
gene8419	K01897
gene12339	K18175
gene12340	K15266
gene8431	K16365
gene8432	K00507
gene4079	K04437
gene4080	K09441
gene4081	K14769
gene1265	K02966
gene1266	K09311
gene1267	K09308,K09311
gene6523	K05209,K05210,K05211,K05212
gene6525	K10849
gene4234	K00510,K21418
gene4235	K13356
gene4236	K13356
gene14415	K08471
gene11688	K01672
gene11689	K01672
gene14191	K03264
gene14192	K05636,K06243
gene5159	K02899
gene5160	K10610
gene12667	K07374
gene6984	K19398
gene497	K17436
gene498	K12386,K16686,K17436
gene499	K01273
gene7402	K06252
gene7403	K01016,K01025
gene9514	K09378,K09380
gene9515	K09378,K09380
gene4166	K15687
gene4167	K13143,K13180
gene4168	K09545
gene7157	K09535,K09539
gene3001	K04697,K04698,K04699
gene3002	K14999,K15003
gene3003	K14999,K15003
gene3004	K14999,K15003
gene2358	K15348
gene2359	K00649
gene2360	K02934
gene2361	K02985
gene2362	K20839
gene2116	K03238
gene2117	K01836
gene2118	K10599
gene2119	K12818
gene2120	K15445,K17654
gene2121	K20398
gene2122	K19752
gene11774	K00387
gene11775	K04043
gene4708	K00995,K19948
gene4709	K10863
gene4710	K17637
gene4711	K10863
gene4712	K20649
gene9072	K00288,K13402
gene10946	K09228
gene7130	K02608
gene7131	K05019
gene5382	K03768
gene5383	K03768
gene7379	K05309
gene2861	K01283
gene2862	K01283
gene850	K20293
gene851	K00699,K04628
gene852	K00699,K04628
gene853	K06071
gene1864	K12670,K15184,K15185,K15194,K15195
gene5826	K20133,K20134
gene8052	K02183
gene6708	K05037
gene3420	K13207
gene14686	K14708
gene14687	K14708
gene14688	K14708
gene4126	K07424,K14999,K15003,K17689,K17690,K17691,K17692,K17860
gene3444	K21270
gene3447	K14326
gene3448	K14326
gene3439	K16617
gene3443	K00799
gene7604	K02090
gene7606	K09533
gene2647	K14999,K15003
gene2648	K14999,K15003
gene13224	K04362,K05093,K05094
gene5869	K20692,K20697
gene5870	K20692,K20697
gene5871	K15331,K15332
gene5872	K09580
gene13233	K05692
gene5261	K22128
gene5262	K22128
gene9338	K02930
gene9339	K12861
gene5391	K04450,K09047
gene2970	K10413
gene2971	K20288
gene2973	K18188
gene14590	K14951
gene2421	K06843
gene3821	K00505
gene8956	K12890
gene8957	K12890
gene11222	K00666
gene11223	K00666
gene9071	K16683,K16821,K16822
gene8564	K17509
gene8565	K17428
gene9375	K18674
gene9376	K03231
gene14635	K12373
gene2828	K20210
gene2829	K21952
gene13750	K08471
gene13583	K03035
gene7287	K05746
gene10882	K01126,K19179
gene1340	K20316
gene1342	K04348
gene110	K04145
gene111	K04145
gene113	K04145
gene114	K04145
gene10407	K06497
gene7678	K01255,K10768,K11142
gene3378	K01870,K02737,K08471
gene3379	K10428
gene3380	K02649
gene3381	K02649
gene9989	K09314,K18488,K18489
gene12913	K01262,K14208
gene5894	K04380,K10430,K10431
gene8018	K16506
gene8019	K16506
gene7822	K10498
gene4154	K09185
gene4155	K09185
gene13779	K02868,K10523
gene9155	K20673
gene12794	K02235,K02432
gene3899	K08532,K08533,K08701,K14033
gene5077	K18084
gene14180	K01312
gene13023	K04984
gene13024	K04984
gene10857	K09104
gene7052	K08145
gene2480	K00666
gene1646	K12272,K13343
gene13758	K03349
gene13759	K17410,K18463
gene13158	K17503,K17504
gene8806	K08471
gene8807	K08471
gene8808	K08471
gene8809	K08471
gene7314	K05357
gene7315	K15283
gene13102	K09595
gene13103	K08991
gene8437	K00820
gene8438	K20164
gene11826	K03936
gene9449	K09228,K09229
gene13486	K07972
gene6395	K10349
gene13292	K22499
gene12067	K21032
gene2674	K14792
gene2675	K10867,K10888
gene2677	K14794
gene9780	K13800
gene9781	K06642
gene6758	K16502
gene9049	K07299
gene9050	K07299
gene4429	K00791,K01254
gene11121	K15865,K20280
gene11122	K02268
gene11123	K13254
gene2369	K08701
gene2370	K08547,K08548,K14032
gene11102	K12404
gene9562	K00560
gene1416	K15127
gene8603	K08471
gene11724	K10086
gene2263	K00699,K04628
gene2264	K00699,K04628
gene9381	K10104
gene9382	K10104
gene13977	K02365
gene4599	K02980
gene4600	K05901
gene4601	K00463
gene4602	K09324
gene4603	K09324
gene4604	K06813,K16501,K16502
gene5698	K06678
gene5700	K10896
gene1179	K01886
gene1180	K14999,K15003
gene9536	K11997,K12035
gene5628	K13111
gene5629	K01874
gene9079	K10752
gene9080	K13169
gene8512	K02894
gene7552	K01251
gene14237	K11097
gene6601	K08288
gene6602	K02183
gene14162	K13882,K13886
gene1751	K18709
gene1752	K00031
gene295	K07427,K15001,K15007
gene296	K07427,K15001,K15007
gene297	K01623
gene298	K07850,K07851
gene14091	K02156
gene7236	K19867
gene7709	K01823
gene10553	K04703
gene9506	K06677
gene9507	K14999,K15005,K15006
gene12596	K13129
gene12597	K07767
gene8931	K07752
gene8932	K07752
gene7318	K15288
gene998	K05313
gene1000	K18085
gene1002	K04603,K04605,K04611
gene6149	K19681
gene8214	K06671,K13055
gene3477	K09993
gene3478	K00907,K08809
gene3479	K04964,K04967,K04968,K13803
gene3480	K01537,K05850
gene10675	K04794,K18177
gene5247	K09194,K09200
gene5248	K06999
gene5249	K08145
gene3659	K15183
gene14617	K12816
gene14618	K12816
gene14619	K00275,K05755
gene14621	K14016
gene14622	K16756
gene10460	K09371,K09372
gene6998	K11136,K19483
gene6999	K11136,K19483
gene4096	K17339
gene4099	K18710
gene12753	K03320
gene12235	K08878,K20629
gene12236	K13948
gene12237	K13948
gene12239	K07750,K22282
gene3617	K11426
gene3618	K02729
gene3619	K02932
gene3620	K12580
gene3621	K12580
gene9570	K06639
gene14699	K17778
gene14700	K21752
gene12419	K08821,K15594
gene5517	K06482,K06485,K06583
gene5518	K13348,K13349
gene5519	K13348,K13349
gene9409	K02961
gene9410	K15732
gene1464	K21762,K21763
gene8999	K17362
gene9000	K19511
gene12756	K09577
gene3751	K01415
gene3754	K01053
gene8675	K06838,K06839,K06850,K19036
gene8676	K06838,K06839,K06850,K19036
gene7527	K00643
gene4465	K02962
gene4467	K04649
gene7702	K02996
gene7703	K00558,K10609
gene7704	K12488
gene13946	K00637
gene7244	K20915
gene5689	K21286
gene7072	K10614,K10615
gene10605	K08858
gene10606	K05313
gene11703	K01540
gene12472	K16351,K19511
gene10596	K22037
gene6943	K16569
gene11800	K01176
gene4919	K07200
gene4833	K01807
gene4835	K13174
gene1657	K01298
gene1658	K01298
gene1659	K01298
gene1660	K01298
gene1661	K01298
gene1382	K09228,K09229,K22402
gene1383	K15133
gene1384	K15014
gene6958	K10277
gene6959	K12838
gene6960	K18160
gene13826	K01528
gene13827	K01528
gene12410	K03174,K09848,K09849
gene13260	K10401
gene5709	K19526
gene5710	K00830
gene5711	K19526
gene5713	K14001
gene9359	K07508,K17972
gene9360	K13342,K20915
gene9361	K13696,K13697
gene10514	K06636,K19719
gene10517	K05605
gene10518	K03259
gene11202	K10389
gene1166	K22400
gene1167	K01312,K09640
gene1168	K10407
gene1169	K18400
gene5769	K09667
gene5771	K08498
gene5528	K20407
gene2401	K11416,K11417
gene2404	K14809,K16833
gene2405	K08853,K08854
gene2406	K02360
gene2407	K03012,K11314
gene10490	K17261
gene4911	K02259
gene4912	K22076
gene4775	K14613
gene4776	K12194
gene4777	K12625
gene7185	K11862
gene12689	K15028
gene12882	K07515
gene3517	K19176
gene3518	K01756
gene3519	K16545
gene3520	K08471
gene3521	K08471
gene7086	K03949
gene6949	K19756
gene9416	K00121
gene9417	K13345
gene7302	K00161
gene7303	K07942
gene3613	K17259
gene3614	K08513
gene2550	K13144
gene2551	K06669
gene2552	K06669
gene9426	K06061
gene11290	K09223
gene13998	K06875
gene13999	K13175
gene14001	K15171
gene9265	K15216
gene13150	K00507,K15331
gene11737	K03992
gene10607	K21396
gene10609	K12887
gene3021	K14999,K15003
gene3022	K06491,K17341,K21436
gene12673	K04378
gene8625	K14405
gene8626	K02995
gene13231	K09108
gene12069	K07575
gene6765	K10356
gene6766	K10356
gene9595	K20232
gene4675	K07374
gene4676	K07374
gene4677	K10436
gene11317	K06061
gene8371	K10319
gene5913	K20371
gene5914	K12493
gene6251	K19027
gene6252	K19027
gene6253	K03120
gene11013	K04659
gene11014	K00318,K11394
gene9267	K04523
gene9269	K10147
gene8275	K01511
gene14528	K07555
gene9672	K13023,K16665
gene14063	K15378
gene2181	K03768
gene2182	K03768
gene3401	K02953
gene9420	K04557,K06262,K13737,K16942,K16943
gene5809	K13221,K15979
gene4317	K01052
gene4318	K08339
gene6077	K11251
gene6078	K08371
gene4910	K07976,K12470,K13738
gene1481	K17781
gene1482	K19539
gene1483	K08471
gene1484	K10380
gene1485	K05643,K10380,K15503
gene1486	K10380
gene14501	K13091
gene14503	K02084,K03363
gene14504	K11584
gene14505	K10779
gene14506	K20292
gene13386	K16470
gene13387	K14800
gene8621	K10580
gene5959	K20195
gene9442	K05701,K06098
gene3721	K00884,K08669
gene3722	K08669,K08784
gene3723	K10777,K15201
gene3724	K21919
gene10304	K03108
gene10305	K18693
gene10306	K01557
gene12902	K03248
gene12903	K08145,K14258
gene4561	K21396
gene11416	K16756,K19944
gene8818	K12163
gene8819	K06515
gene8820	K06515
gene11681	K18763
gene6697	K10352,K17751
gene6698	K10352,K17751
gene6231	K15116,K21403
gene6232	K18406
gene6233	K04382,K22074
gene3861	K02885
gene3862	K00939
gene3863	K20685
gene3864	K20685
gene10921	K16714
gene10932	K13201,K19041
gene9085	K06515
gene9086	K12163
gene14129	K05545
gene8657	K15110
gene8617	K13208
gene5578	K16944
gene5579	K18668
gene6446	K10641
gene5496	K13509
gene11766	K20221,K20222
gene7042	K10799
gene7043	K19366
gene9912	K04255
gene6050	K14209
gene6051	K14209
gene10047	K08471
gene10048	K08471
gene2696	K03959
gene2697	K14298
gene2582	K00797
